smiles,4lde qvina,4lde smina
COc1ccc2C3=C4c5c(cc(OC)cc5)C3C3(C5=C6C(=O)N7C8C9=C(CCc%10ccccc%10)C(=C8c8ccccc8)C3(c3c5ccc(OC)c3)C7(C9)N6c3c(Cl)cccc3)C4c2c1,37.4,33.3
CCCC1Cc2c(cccc2)C12NC1C(=C(C=O)C(=C3C(=O)ON4C5=C6CC34N(C5=O)c3c6ccc(OC)c3)c3c1cccc3)C(=O)O2,31.2,32.9
COc1cc2c(cc1)C1=C3CC4=C1C21C3=C2C3=C5C6=C2C27C(=C3c3c(cccc3)C51c1c4cccc1)C1=C3c4c(cc(OC)cc42)C(O)(C6)C37OC1=O,33.1,32.7
COc1cc2c(cc1)C(=C1c3c4cc(OC)cc3N3C(=O)N4C1C31Cc3n[nH]c4c3c1cc(OC)c4)C1=C(c3ccccc3)CCCC12,30.9,30.9
COc1ccc(C2=C3C(=O)c4c(cccc4C24c2cc(OC)cc5c2C2=C6C(=O)OC7(CCCC(c8ccccc8)=C27)C654)-c2ccncc32)cc1,33.0,29.7
C=CC=C1c2c3cc(OC)cc2C2C(c4ccc(Cl)cc4)c4c(cc(OC)cc4)C12C3CC(=O)OC12C=C(C(=O)O1)C1(NCC(=O)N1n1c3c4C5=C(c6ccccc6)CCCC5(c5c-3cccc5)c3cc(OC)cc1c34)O2,35.5,28.7
COc1ccc(C(C)=C2C(=O)OC34C=CC(=O)C35CC3=C(c6ccccc6)CC6=C7c8c9cc(OC)cc8C24C7C95C6=C3c2ccccc2)cc1,21.5,28.2
CC=CCC1=C(c2ccccc2)C2=C(CCc3ccccc3)CCC3(C2)C2(CC=CC2=O)OC2=C4C(=O)C56C(=C7C(=O)OC25C173)c1c(cc(OC)cc1)C6C=C4C=O,28.1,27.8
C[O+]1CCC2(C)CC2CC[N+](C)(C)CCCCCN2CCCC3CCC2C(CNC3)C1,27.1,27.0
COc1cc2c(cc1)C1=C(c3ccccc3)CC23C(=C1)C=C(C1=C2C4=C5C6N7C(=O)N(C15c1c2ccc(OC)c1)C61C(=O)C4=C7C1OC(=O)c1ccccc1)c1ccccc13,35.6,26.2
COc1ccc(CC2OC(=O)C3=C4C(C5c6cc(c(Cl)cc6)C5c5ccccc5)=C5C(=O)OC67C8=C9C%10=C%11CC(=C%10c%10ccccc%10)C(O)C(O)(C%11)C9C(O)(C4C56OC8=O)C327)cc1,25.3,25.9
COc1cc2c(cc1)C(C=C(N)N=C(N)N)=C1C3=CC4=C(c5c(cccc5)OC4=C(c4ccccc4)c4ccc(C(F)F)cc4)C32c2cc1ccc2OC,14.5,23.8
CC=CC1=C2C3=C4C(=O)OC2C2(C1=C3C(=COc1ccccc1)c1ccccc1)C13CC5=C(C1=O)C(=C(c1ccccc1)C5C42O)c1c3cccc1,19.2,23.6
COc1cc2c(cc1)C1=C3c4ccc(OC)cc4N4C(=O)CN5c6cccc(c6C(C)=O)C(CCCCc6ccccc6)(C16c1cc(OC)ccc1CC26)C354,24.8,23.5
CCc1c(C23C=C4C5=C6C(=O)OC7(O)c8c9C%10=C(CCC=O)CCC(O)(c9cc(OC)c8)C%102C67C4(O3)C2(Cl)Oc3c(cccc3)CC52)cc(OC)cc1,19.4,22.3
CCc1c(C23SC45CC(=C2c2c6cc(OC)c7c2n2c(=O)n7C3(c3c(CC)ccc(OC)c3)C62O)C(O)C4Cc2c5cc(OC)cc2)cc(OC)cc1,21.6,21.7
CCOC(=O)CCC12c3c4c5cc(c3)occ-5c3c4C1(c1c-3ccc(OC)c1)C1Sc3c4c5c6cc3occ-6c3c5C2(c2c-3ccc(OC)c2)N41,19.9,21.4
CCOC=C(C=O)C=c1c(=O)oc2c(CN(C(=O)c3ccccc3)C2=O)c1=C1CN(C(C)=O)c2ccccc2C1=C1C=CNC(=O)N1,11.5,21.4
COc1cc2c(cc1)C1=C3CC4C56C7=C8C(=O)OC59C(=CC(=O)c5ccccc5)C(=O)OC89C4(c4cc(OC)ccc74)C1(c1c3cccc1)C26CCCCc1ccccc1,18.1,21.1
COc1cc2c(cc1)C1=C3CC4(Nc5c(cccc5)N4C3c3csc4ccccc34)C1(c1c(C(F)F)ccc(C3CC4OC(=O)C5=C3c3c(cccc3)C54)c1)C2CCCCc1ccccc1,18.3,20.6
O=C(c1ccc(O)cc1)N1c2c3c(C4=C5C(=O)C6(C4)C(Cc4ccccc4)=C5c4c6cccc4)c4c1cccc4c2CC1c2ccc4OC=C(c5ccccc5)C31c4c2,27.8,20.4
CC=C1C=C2c3cccc(c3)C(=C1)N2C(=O)N(c1ccccc1)N1CCOCC1=NC(=C(C=C1C(=CC)Oc2ccc(N)c1c2)c1ccccc1)c1ccccc1,21.0,20.4
CC1=NC2C(=O)N1C1(SC3(C4=C5C=CC(C)c6cc3c(cc56)O4)c3c(cccc3)C13C1CCC3(C)CC1)S2(=O)=O,17.5,19.7
O=C1OC2C=CC(=O)C23C1=CC(=O)c1c(-n2cnc4c(N5c6ccccc6C6=C(C7=C8C(=O)c9c(cccc9N8C(=O)c8ccccc8)C7)CC(O)N65)ncnc42)cccc13,17.0,19.2
O=C(O)C1=C2OC3CC4N2C(=O)N(C1)C3C41Cc2c(cccc2)C(=O)C1=C1CC2C(c3ccccc3)=COc3c2cc1cc3,16.4,19.2
COc1ccc2C3=C4c5c(cc(OC)cc5)C3(c3c(CCC=O)cccc3)C35CC6=C(CCc7ccccc7)CC(=C6c6ccccc6)C3(C(=CC(=O)c3ccccc3)C(=O)O5)C4c2c1,15.7,18.5
COc1ccc(C2=C3C(=O)c4c(cccc4)C2(c2c4CC5(CCc6c5cc(OC)cc6)N(C=NC=N)c4cc(OC)c2)c2c(OC)ccc3c2)cc1,12.6,18.3
COc1cc2c(cc1)C1=C3CC2C2(c4c(ccc(OC)c4)C4=C5CC67OCC=C6c6c5c(cc(OC)c6)C472)C1c1c3cccc1,17.8,18.2
CCCCCOC1C(=CC(=O)OCC)C(C(=C(c2ccccc2)c2ccccc2)c2ccccc2C(c2ccccc2)c2ccccc2)n2ccc(=O)n1c2=O,14.6,17.6
CCOC(=O)CC1(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)C(=C(c2ccccc2)c2ccccc2)C(OCC)n2c(=O)ccn1c2=O,14.0,17.3
COc1ccc(C(C)=C2C(=O)OC34OC56C(=O)C=CC5c5c7C6=C3C3=C6C8=C(CCc9ccccc9)CC(c9ccccc69)C84C23c7cc(OC)c5)cc1,16.1,16.8
COc1cc2c(cc1)C(=COc1ccc(-c3ccc(Cl)cc3)cc1)C13c4cc(OC)ccc4C(=C4C(=O)OC56C7=CC(C(C)C415)C14OCCC1N6C(=O)N74)C23,20.0,16.7
CCOC(=O)C1=C2C3=C4C5=C(C(=O)O)CC(=C5c5ccccc5)C45C4C=C6C(=O)OC57C2(F)C(C3C(=COc2ccccc2)c2ccccc2)C1C67O4,18.2,16.6
OC12C=C3C(=C(C1)c1c3cccc1)C21c2cc(c(Cl)cc2)-c2c1cc1cccc3Sc4c(cccc4)-c2c31,16.1,16.6
CC(=O)c1c(C23C4=C5c6c(cccc6)N2C(=O)C2CC5N5C(=O)CN(C6C4=C(c4ccccc4)C(C=O)=C6c4ccccc4)C253)cccc1,19.2,16.1
COc1cc2c3C4=C(c5c(cc(OC)cc5)C45c4c(ccc(OC)c4)CC25)C2(OC(=O)C4=C5C=CCC(O)C5CC42)c3c1,9.0,16.1
CCCCC(O)C12OC(=O)C3=CC(=O)c4c(cccc4)C31OC(=O)C2=C1c2c3cc(OC)c4c2C2(OCCC(=O)O2)C12N4CC(=O)N32,13.4,16.0
COc1cc2c(cc1)C1=C(C(=O)O)C=C3N4C(=C(CCc5ccccc5)CC4=C4C(=O)c5c(cccc5)C5OC(=O)NC(CCO)C45)C=C1C32O,19.0,15.7
CCc1c(C23C4=C5c6c2cc(OC)cc6C(=O)N2c6cc(OC)cc7c6C6=C(CCc8ccccc8)CC73C6(Cl)C52c2cc(OC)ccc42)cc(OC)cc1,19.1,15.6
COc1cc2c(cc1)C1=COc3c(cccc3)C1C21C(C(=O)OC(C)(CO)C(O)OC)=C2CC(c3ccccc3)=C3C(=O)c4c(cccc4)C31C2,16.2,15.6
COc1ccc2C3=C(c4c(cc(OC)cc4)C3(c3c(CCCO)ccc(OC)c3)c3ccccc3C(=O)c3coc4c3cccc4)C3(CC=CC3=O)c2c1,16.1,15.6
COc1ccc2c(c1)C1c3c-2c2coc4cc-2c3c(c4)C12OC1(CCc3c1cc(OC)cc3)c1c(cccc1)C2=O,11.9,15.2
COc1ccc2c(c1)C1(c3c4C5=C(C(=O)c6c(C(=O)c7ccccc7)c7c(cccc7)o6)CC6(CC(=O)OC561)c4cc(OC)c3)c1c-2c2coc3cc-2c1cc3,18.3,14.8
CC(Cc1ccccc1)=C1C(C=CC=CC(=C2C(=O)OC(C)=C2C(=O)NC(N)=O)c2cc3c(F)cc2o3)=C2CSc3c(cccc3)C2=C1n1cc2ccccc2c1N=CN,15.1,14.7
COc1ccc(CC2C(=O)C=CC23c2c(ccc(OC)c2)C2=C4C5=C(CCCCc6ccccc6)C6C4=C4c7ccc(OC)cc7N7C(=O)OC2(c2c5cccc2)C63C47)cc1,16.0,14.6
CCC1C2(CC)C3CCC4CCCOCCC2C(=O)N(CC)C(CCC4C)C[N+]1(O)C(C)C3,10.4,14.0
COc1c(O)c(O)c2c(c1)CC13C(=C(C)OC(C)=O)C4(Oc5c1cccc5)c1cc(ccc1F)C23N4C(=O)c1ccccc1,12.8,13.9
CC(=O)n1c2c3c(=CCOC(=O)c4ccccc4)c(-c4ccccc4)c4c5ccccc5c5=C(Br)CCC(=O)c5c4c3c1cc2,7.9,13.9
CCCC(C=O)=C1C(Sc2ccccc2)c2c(cccc2)NC12C(C)(C)c1c(cccc1)C1=C3CCC12c1c3cccc1,12.8,13.8
COc1cc2c(cc1)C1=C3C4=C5C(=O)OC6(C(C(=O)O)=COc7c6cccc7)C5C3(CO)C23C(=C4c2ccccc2)C(=O)OC13,11.7,13.8
NC(=O)OC1=C2C3=CCC4OC35OC36C1=C(C5=O)C24C1=C3C(c2c1cccc2)C(c1ccccc1)N6C(=O)c1ccccc1,14.0,13.6
COc1cc2c(cc1)CCC21C2=C(c3ccc(OC)cc31)C1(OC2=O)OC(=O)C2=C(C)c3ccc(OC)cc3C21c1c(Cl)cccc1,26.3,13.4
O=C1OC23CC4=C1C21C(=O)C=CC3=C(c2ccccc2)C4C(=COC2=C3C(F)=CC(=C2)C3O)C12C(Cc1ccccc1)CC1=COC3=C4C=CC(=C3)C142,12.3,13.3
CC=CCCC1C(=C(C=CC)CC)Oc2cc1ccc2C1(F)C2=C3c4c5cc(OC)c6c4C47N8C(=O)N6C56C(CC8c5ccccc5)C14c1cc(OC)cc(c21)C367,19.0,13.1
CC1=CC(=C2C3=CC(C#N)=C2N(c2ccc(Cl)cc2)c2ccccc32)C(c2ccccc2)=C1c1ccccc1,13.7,13.0
CC=CC1OC(C)C2(C3C4=C(c5c3cccc5)C3(CCC(=O)O3)c3cc5cc(c43)C(OCC)=CO5)C1=C(CC=O)c1c2cccc1,9.4,12.5
CCC(C=CC=CC1=CC(c2ccccc2)=C(c2ccc(C3=CCOC(=O)C3CC)cc2)C1)=C1C=C(c2ccccc2)C(OC(C)=O)=C1c1ccccc1,14.8,12.4
CC(=C(N=C1COCCN1N(C(=O)n1c2cc(C=O)c1-c1cc-2ccc1)c1ccccc1)c1ccccc1)c1ccc(Oc2ccc(-c3ccc4ccccc4n3)cc2)cc1,13.7,12.4
COc1ccc(C2=C3Cc4c(cc(OC)cc4)C34C3=C5C(=O)OC67C(=C(c8ccccc8)NOC46C2)C(=O)OC57c2cc(OC)ccc32)cc1,26.2,12.2
COc1cc2c(cc1)C1=C3c4c(cc(OC)cc4C14OC1C5=Cc6c1cccc6C4(CCCc1ccccc1)C5)C(O)C32c1c(C(F)F)cccc1,11.7,12.1
COc1ccc(C(C=COc2ccccc2)=CC(=Cc2ccccc2N=NN=C2C3C(Oc4c(CN)cccc4)=C4Cc5ccc6cc5C5(O6)C24C2CCC35N2C(=O)c2ccccc2)c2ccccc2)cc1,11.0,11.9
COc1cc2c(cc1)C1=C3CC(c4ccccc4)=C1C1(c4c(ccc(OC)c4)C4=COC5=C6C=CC(=C5)C461)C32,10.4,11.6
CC(Cc1ccccc1)=c1ccc(=c2c(=C(Sc3c(C)c4c(cccc4)[nH]3)C(=O)c3ccccc3)c3ccccc3n2C(C)C)n(C(N)=O)c1=O,6.3,11.6
CCc1cccc2c1c(-c1ccccc1)c(C=C1C=c3c(=C(C)C(C)c4ccccc4)c4c(cccc4)n(C1=O)c3=O)c1ccccc12,5.2,11.6
CC1CCC2CCCOC3=CC4=CC(=CC=C3)CCCC(CCCN(C)CNNN2C1)C4,11.3,11.5
COc1ccc2-c3c4c5c6cc(cc5N5C(=O)N(c7ccc(C(C)=O)cc7)C7(N8C=CC7(S(=O)(=O)c7ccccc7)CO8)C45c2c1F)occ3-6,11.9,11.1
CCCC1CCC(=O)CCC(C)C23CCCCCCC4C(CC2(C)CC(C)(CC)C1)C1CC1CC43,10.4,10.9
Nc1c2ncn(-c3ccc(C(=O)C=CC=C4C(=O)OC(=O)C(=C5c6ccccc6-n6c(=O)c7c(cccc7)n56)C4=CC(=O)c4ccccc4NC(=O)c4ccccc4)cc3)c2ncn1,10.4,10.8
COc1cc2c3C4=C5C(=O)OC6(C=C2C(=O)C46c2c4C6=C7C8=C(Cc9ccccc9)C9=C7C(C(=C8c7ccccc7)C9)(c4cc(OC)c2)C62CNC(=O)N2)C5c3c1,10.6,10.6
O=C1CCN(C(=O)C2(F)C=C3C(=C(c4ccccc4)O2)CC2(CC4=CC(=O)C25C=C2C(=O)C45C(=O)c4c2cccc4)C3(O)F)O1,10.2,10.6
COc1ccc(C2=C3C(=C(c4ccc(Cl)cc4)Cc4c3cc(OC)cc4)C(=O)OC2c2ccc(Cl)cc2)cc1,5.5,10.6
O=C(CC=C(N=C1CC(Cc2ccccc2)c2cc1ccc2OC=Cc1ccc(Cl)cc1)c1ccccc1C(CCc1cc(=O)c2c(cccc2)o1)C(=C1SCN2C3=CC(=O)C12N(C(=O)c1ccccc1)C3)c1ccccc1)OO,15.5,10.5
NCc1c(N(C(=O)C23SC(=NN2c2ccccc2)c2c(cccc2)S3)C(=Cc2c(N)cccc2)c2c(-c3ccccc3)cc3C=Cc2c3)cccc1,15.1,10.4
COc1cc2c(cc1)C1=C(CCc3ccccc3)C3=C(c4ccccc4)CC4=C5C(=O)OC36C4=C3c4c7cc(OC)cc4C1(C31OC(=O)CC71)C526,13.4,10.2
Clc1ccc2CC(=C3Cc4c(cccc4)OC3N3C4=CCC(c5ccccc5)=C3COC4)C(c3ccccc3)c2c1,10.9,10.2
CCOC(=O)C(=CC1=C(c2ccccc2)NC(=O)C2c3ccc(Cl)c(c3)C12)C(=C1C(=O)OCCN1C(=O)OCc1ccccc1)S(=O)(=O)c1ccccc1,9.4,10.1
CC1CC23C4CCC(C5CCCC6CCCC7CCC(C72)N(C(=O)C(C6)C5)C1O)C3C(C)C4,9.0,10.1
O=C(c1ccccc1)N1C23OC(OC14c1c(cccc1)C1=C2C2C5=C6C=C(C5=C(c5ccccc5)C6)C1C24)c1c3cccc1,10.4,9.8
CC=CCCC1=C(c2ccccc2)C2OC34C(=C5CC36NC(=O)NC6c3c5cccc3)C(=O)OC14C1=NC(=O)C(N)=C12,7.3,9.8
O=C(O)Nc1cn(C(=O)n2cc(C(=Cc3cc(=O)c4c(cccc4)o3)OC(=O)CC3(c4ccc(Cl)cc4)c4c(cccc4)C(=O)N3C3=CCC(CCc4ccccc4)C=C3)c(=O)c3c2cccc3)c2c1cccc2,17.1,9.7
CC1=C(C(Oc2c3ccccc3ccc2)=C(C=O)N(C(=O)c2ccccc2)c2c(Cl)cccc2)C(=Nc2c(N)cccc2)C=C1C(=O)O,9.5,9.7
CC=CC(C=C(C)c1c(C)cc(-c2ccccc2)c(C=CC=Cc2c(-c3ccccc3)cccc2C)c1C=Cc1ccccc1)=C(NC(=O)c1ccc(OC)cc1)C(=O)CC(=O)NCC,8.9,9.7
O=CC1=CC=C(C(=C2Cc3ccccc3N3C(=O)OC(=C4NC(=O)N=C(CO)N4)C23)c2ccc(Cl)cc2)CC1Cc1ccccc1,9.1,9.5
CC1=C(c2ccccc2)C(=C(c2ccccc2)C(C=O)OC(=O)c2ccccc2)c2c(N(Cc3ccccc3)c3c(Cl)cccc3)cccc12,10.8,9.3
CC1=C(C23C(c4ccccc4)=C(c4c2cccc4)c2ccccc23)C(C2=CC=C3C4=CC5(CCCCC5OC4=O)C32)OC1=O,9.2,9.2
CC=CCCCC(OCO)C1C(=O)c2c(cccc2)C12C=C(CCCc1ccccc1)C1(O2)c2cc(OC)cc3c2C2=C(c4ccccc4)CCCC21O3,5.3,9.2
COc1cc2c(cc1)-c1c(c3ccc4cc3-c1co4)C2(OC(=O)C(=CCCCCO)C1(C2(c3ccccc3C(C)=O)NC(=O)NCO2)CCOC1)c1c(C(C)=O)cccc1,8.0,9.1
CCC12CCCCCC3C(C)C4CCCN3CC(CCO)(CCC4)OC3(CCC3)C1NC2,8.6,9.0
COc1ccc(CC2c3c(cccc3)C(=O)N2C23C4=C(Oc5ccccc5)C56C7=C8C(=C(c9ccccc9)C7)C52C(CCCCO)OC62C8NC=CC23OC4=O)cc1,7.0,8.8
CC1C2=CC=CC3=CC(=C2)N2C4CCCCC1OCOC(CC(=O)NCC2N(C)C4)C3,5.7,8.8
COc1ccc(C(=O)C2=C(c3ccccc3C(=O)C=C3C(c4ccccc4)=CC4=C3C(=Cc3ccccc3)OC4=O)C3=C(C2=O)C2=C(c4ccccc4)C3C(CO)CC2)cc1,11.8,8.7
CCN1CC=C2c3c4cc(cc3)N3C(=O)N4C45C6=CC7=CC(OC)=C6C73C43CCC(C4C(c6ccccc6)=COc6c4cccc6)=C(C3)C215,9.1,8.7
C=CC=C1C(CCc2ccccc2OC=COc2ccccc2)=C(c2c(O)n3CC(=O)n2c2c3c3c(cc2)c(=O)c2c3c(=O)c3ccccc32)N(Cc2cccc(=O)o2)C1c1ccc(Cl)cc1,8.2,8.7
CC=CC1=C2C3=C(C(=O)OCC)C4=C5c6c(cccc6)C4(C4(F)CCC5O4)C34OC2C(c2ccccc2)=C1C4c1c(Cl)cccc1,11.2,8.5
COc1cc2c3C4=C5C(c6ccc(Cl)cc6)C6=CC7(Oc8cc7c6cc8)C5C2C42C4(C5=C6C(c7ccccc7)=C7CC8OC29C2OC84C69C7=C52)c3c1,8.6,8.5
CC1=C2c3c(cccc3)N3CSCN4C(N=CN)=C5C6=C(Cc7c6cccc7)C(c6ccccc6)=C5N(C1=O)C243,8.0,8.5
CCN(CC)C(C(=c1c2c(OC)ccc(c2)c2c(O)c(O)cc(NCC=O)c12)N1CCCCC1)(N(C)N)N(C)C=O,8.0,8.5
COc1ccc(C=C2C(=CC(=O)c3ccccc3)N3C(=O)C4=C2C25C(=O)C(Cc6c2cccc6)c2c(cccc2)C5=C4C3CCc2ccccc2)cc1,7.0,8.4
COc1c(N2C(=O)N3C(=O)N(C2=c2c(=O)n4c(=NC5=NCC(=O)N5)nc2n4C(=O)Nc2ccccc2)c2cc3ccc2)cccc1,16.0,8.3
Cc1c(C=C(c2ccccc2)c2c3-c(c(-c4ccccc4)c4ccccc34)c3cc(Cl)ccc3[nH]2)cccc1,8.3,8.3
COc1ccc(C2=C3C4C5C6=C(O)C(C2=C(c2ccccc2)C2N3C(=O)c3c(cccc3)N2C(S)=C(C)CO)(C5Cc2ccccc2)C4C6)cc1,5.0,8.3
CCCC=CC=CC=C1C(=C2C=CC(Oc3c(N)cccc3)=C2CCc2cc3c(OC)cc2n3-c2ccccc2)C(C(=O)OCC)(c2ccccc2)c2cc(Cl)ccc12,6.3,8.2
COc1ccc(C2=C3C4=C(c5ccccc5)CC(=O)C5(C=CC=O)c6c7C(=Cc8c(Cl)cccc8)C3C3(Oc(c6)cc73)C45C2)cc1,-0.7,8.2
COc1cc2c(cc1)C(=C(C(=O)c1ccccc1)c1ccccc1C(=O)c1coc3c1cccc3)C13OC(c4ccccc4)=C4C1OCC42O3,7.9,8.1
O=C1C=C2C3=CC(=CC3)N1C21c2c(cccc2)C(=C(c2ccccc2)c2ccccc2)c2c1cccc2,7.9,7.9
N#CC1=C2C(=C3C=CN=C3c3ccccc3)C(=C1)c1ccccc1N2C=C1C2=CC(=O)N1c1c(cccc1)C2,3.7,7.8
CC1C2CCC(=O)[N+](C)(C)C13CCCCC(C2)C(OCN)C1CCC2CC(C1)C(CC3)C2(C)C,11.1,7.7
CCCC1CC2CCCC3C4CC5CC(O)NC(CC6C(C1C)N(CC(C)O2)C5C[O+]6C4)C3C,8.4,7.7
CC1=C2N(C(=O)OC23CCCCC3)c2c(C(=C3C=CSc4c3cccc4)c3ccc(Cl)cc3)c1ccc2,6.0,7.6
Clc1ccc(-c2c3C(c4ccccc4)=C(c4ccccc4)C4=C(C5Cc6ccc5cc6)Cc(c43)cc2)cc1,7.5,7.5
COC(=O)C1=C(CO)C(C)=C(C(=O)O)C1=C1CN2C(=O)OC(c3ccccc3)=C1C2=CC=CC(C=O)=C(C)C1CC=C(c2ccccc2)OC1=O,6.5,7.5
COc1cc2c(cc1)-c1c(c3ccc4cc3-c1co4)C2(F)c1ccccc1C1=C2c3c(cc(OC)cc3S(=O)(=O)c3ccccc3)C3NC(=O)NCC23C(=O)C1,7.4,7.3
CC(=O)c1c(C2=CC34Nc5c(cccc5)C3(C(=O)c3ccccc3)C(=O)SC=C4C2=C2C=CC=CC2)cccc1,6.8,7.3
CC(C(=O)O)=C1OC(=O)C2=C1C1=C3C(=C(c4ccccc4)C1=C2)C1C(c2ccccc2)=COc2c1cc3cc2,5.6,7.3
COc1cc2c(cc1)C1=C(c3ccc(OC)cc3C13C(=CC(=O)c1ccccc1)C(=O)c1c3cccc1)C2C1(O)CCC(=O)O1,10.9,7.2
CC=C1C(=O)c2cccc(Cc3ccccc3)c2C2=C1C1=C3c4c(cccc4)CC14C(=C2)C(C)c1cccc4c31,7.4,7.2
CC1CCNC2(C)CCOCC(C)C3CCCC(=CC=CC=C(C2)C2(C)CCCC2C3O)N1,6.8,7.2
CC1=CCC2C(=C3C(=COc4ccc5cc4SCN5)C45c6cc7cc(c36)N4C(=O)NCC5O7)N1C(=O)c1c2cccc1,8.4,7.1
CC=c1c(=C2C(=O)OC(N(C)C)C(=O)N2c2c3C(c4ccccc4)=CCc3ccc2)cc2CNC(=S)n1c2=O,-0.1,7.1
CC1=C2CC(C(=C3c4c(cccc4)N4CC3c3c4cccc3)c3cc4ccc3o4)=C1C(C)=C2Sc1ccc(CC=Cc2ccccc2)cc1,10.6,7.0
CCOC1(NOC)CCN2C(=O)C3(C)CCC2CCC(C)(O)CN(C)CC(C)CCCC1C3,7.1,7.0
CCN1C23CCC2CN2C(C)C4CC(C)CCC5CC(CCC(C)C(C)C4C21C)C3C5,6.8,7.0
COc1ccc(-c2c(-c3ccccc3)c(=C(C)c3ccccc3)c(=Cc3c4C(=O)c5c(cc(O)cc5)-n4c(=O)o3)s2)cc1,5.8,7.0
COc1cc2c(cc1)-c1c3CC2(N2Cc4c(cccc4)C24C(c2ccccc2)=CC(=O)c2c4cccc2)c1c(C)oc3=O,11.2,6.9
CC1CCCCCCCCN(CC=O)CCNCCC2CCCC2(C)C1,6.9,6.9
NC1=C(C=c2c(=C(Cc3ccccc3)C(=O)C3=Cc4c(cccc4)C3C3=CC(CCCc4ccccc4)c4c(cccc4)C3)n3C=CC(=Cc4ccccc4F)n(c2=O)c3=O)C(O)c2c1cccc2,6.8,6.9
NN1C(=C2C(=O)OC(C3CCCS3)c3c2cccc3)OC(=O)C2=C(c3ccccc3)OC(=CSc3c4C(=O)OCc4ccc3)SC21,7.4,6.8
COc1ccc2C3=C4c5c6cc(OC)cc5N5C(=O)N(c7ccc(Cl)cc7)C(C4(O)c2c1)C51C(=NN)C(=O)OC361,7.3,6.8
CCc1cccc2c1c(-c1ccccc1)c1c(-c3ccccc3)c(-c3ccccc3)oc(=O)n12,6.5,6.8
COc1ccc2c(c1)C1C3=C(C)C(=O)C2(c2ccccc2)C3=C2SC3(C(=NN)N21)c1ccc(cc1)S3(=O)=O,6.2,6.7
COc1ccc(C2=C3CCC(c4ccccc4)=C2C24NC=C(C)C(C(=O)c5ccccc5)=C2C(=O)OC34C2C3=C4C(=O)C2CC4Cc2c3cccc2)cc1,5.4,6.7
O=C1OC23C=CC(=O)C24CC(=C1C3)C1(C(c2ccccc2)=COc2c1cccc2)C41OCCC1(O)Sc1ccccc1,4.5,6.7
COC(=O)C1=C2C=C(C)c3c(cc(OC)cc3)C2C2C(=O)NC(=O)C2(C(C2=C(C)C3=C(c4ccccc4)C2c2c3cccc2)c2c(F)cccc2)C1,6.8,6.6
O=C1N=C2CC(c3ccccc3)=C1N=C2C1=C2c3c4cc(cc3)N3C(=O)N4C14C3C2CC41OC(=O)C2=CC(=O)c3ccccc3C21,6.6,6.6
